CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11071,MRS.,Matautu,Nuu,6/26/1955,S,F,linda31@bmc-switzerland-com,"$80,000 ",2,High School,Skilled Manual,Y
11072,MRS.,Alan,James,2/6/1955,S,F,casey6@bmc-switzerland-com,"$80,000 ",2,High School,Skilled Manual,N
11073,MRS.,Ralph,Willis,8/14/1956,S,F,amy16@bmc-switzerland-com,"$70,000 ",2,High School,Skilled Manual,Y
11074,MR.,John,Barry,8/28/1956,S,M,levi6@bmc-switzerland-com,"$70,000 ",2,High School,Skilled Manual,Y
11075,MRS.,Victor,Manuel,11/16/1957,S,F,felicia4@bmc-switzerland-com,"$80,000 ",2,High School,Professional,Y
11076,MR.,Edward,Donnell,7/13/1957,S,M,blake9@bmc-switzerland-com,"$80,000 ",2,High School,Professional,Y
11077,MRS.,Francis,Murphy,9/19/1957,S,F,leah7@bmc-switzerland-com,"$80,000 ",2,High School,Professional,N
11078,MS.,Jacob,Haglund,1/10/1974,S,F,gina1@bmc-switzerland-com,"$40,000 ",0,High School,Professional,N
11079,MR.,David,Kassick,3/11/1959,S,M,donald20@bmc-switzerland-com,"$160,000 ",0,Graduate Degree,Management,Y
11080,MR.,Ledarius,D.,7/17/1959,M,M,damien32@bmc-switzerland-com,"$170,000 ",0,Graduate Degree,Management,Y
11081,MRS.,Yuvette,Henderson,7/24/1966,M,F,savannah39@bmc-switzerland-com,"$120,000 ",2,Bachelors,Management,Y
11082,,Dewayne,Deshawn,8/4/1966,S,NA,angela17@bmc-switzerland-com,"$140,000 ",0,Graduate Degree,Management,N
11083,MS.,Anthony,Purvis,3/15/1966,M,F,alyssa37@bmc-switzerland-com,"$140,000 ",0,Graduate Degree,Management,Y
11084,MR.,Jeremy,Lett,9/12/1957,S,M,lucas7@bmc-switzerland-com,"$80,000 ",2,Partial High School,Skilled Manual,N
11085,MRS.,Izzy,Colon,7/19/1957,S,F,emily1@bmc-switzerland-com,"$60,000 ",2,High School,Professional,N
11086,MR.,Salvador,Muna,12/23/1957,M,M,ryan43@bmc-switzerland-com,"$70,000 ",2,Partial College,Professional,Y
11087,MRS.,Joaquin,Hernandez,10/3/1957,M,F,tamara6@bmc-switzerland-com,"$70,000 ",3,Partial College,Professional,N
11089,MRS.,Jimmy,Ray,2/5/1957,S,F,abigail25@bmc-switzerland-com,"$80,000 ",2,Bachelors,Management,Y
11090,MR.,Markell,Atkins,12/17/1957,S,M,trevor18@bmc-switzerland-com,"$80,000 ",2,Partial College,Professional,Y
11091,MR.,Paul,Alfred,4/4/1957,M,M,dalton37@bmc-switzerland-com,"$80,000 ",2,Partial College,Professional,Y
11092,MRS.,Herbert,Hill,5/6/1967,M,F,cheryl4@bmc-switzerland-com,"$80,000 ",2,Bachelors,Professional,Y
11093,MS.,John,,9/10/1967,M,F,aimee13@bmc-switzerland-com,"$100,000 ",0,Graduate Degree,Management,Y
11094,MR.,James,Allen,4/1/1962,S,M,cedric15@bmc-switzerland-com,"$70,000 ",1,Partial College,Skilled Manual,N
11095,MR.,John,Martin,9/1/1962,S,M,chad9@bmc-switzerland-com,"$70,000 ",1,Partial College,Skilled Manual,Y
11096,MR.,Sawyer,Flache,8/10/1962,M,M,andrés18@bmc-switzerland-com,"$60,000 ",1,Bachelors,Professional,Y
11097,MR.,Vincent,Cordaro,10/27/1961,M,M,edwin39@bmc-switzerland-com,"$60,000 ",1,Partial College,Skilled Manual,Y
11098,MRS.,Joseph,Paffen,5/1/1961,S,F,mallory7@bmc-switzerland-com,"$60,000 ",1,Partial College,Skilled Manual,N
11099,MR.,ADAM,Hostetter,3/8/1961,M,M,adam2@bmc-switzerland-com,"$60,000 ",1,Bachelors,Professional,Y
11100,MRS.,LATASHA,Kreyssig,9/15/1960,S,F,latasha10@bmc-switzerland-com,"$60,000 ",1,Partial College,Skilled Manual,Y
11101,MS.,ABBY,Luster,5/8/1965,S,F,abby4@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11102,MRS.,JULIA,Bess,4/21/1965,S,F,julia7@bmc-switzerland-com,"$80,000 ",5,Bachelors,Professional,Y
11103,MS.,CASSIE,Fritze,10/17/1964,S,F,cassie13@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,Y
11104,MR.,EDGAR,Zambrano-Montes,3/11/1964,M,M,edgar11@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11105,MS.,CANDACE,Watkins,12/28/1964,S,F,candace15@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11106,MR.,JESSIE,Ray,9/11/1964,S,M,jessie9@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11107,MRS.,BIANCA,Larry,9/9/1959,M,F,bianca7@bmc-switzerland-com,"$80,000 ",1,Bachelors,Professional,Y
11108,MS.,KARI,Lara-Rodriguez,7/14/1963,S,F,kari25@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11109,MR.,RUBEN,Carlin,11/5/1963,S,M,ruben1@bmc-switzerland-com,"$70,000 ",0,Bachelors,Professional,N
11110,MR.,CURTIS,D.,6/6/1962,M,M,curtis5@bmc-switzerland-com,"$60,000 ",1,Partial College,Skilled Manual,Y
11111,MRS.,MEREDITH,Mejia,2/23/1962,M,F,meredith34@bmc-switzerland-com,"$60,000 ",1,Partial College,Skilled Manual,Y
11112,MRS.,CRYSTAL,C.,9/9/1962,M,F,crystal3@bmc-switzerland-com,"$60,000 ",1,Partial College,Skilled Manual,Y
11113,MR.,MICHEAL,Joy,2/21/1962,M,M,micheal11@bmc-switzerland-com,"$70,000 ",5,Bachelors,Professional,Y
11114,MRS.,LESLIE,Brent,5/28/1962,S,F,leslie7@bmc-switzerland-com,"$70,000 ",5,Partial College,Skilled Manual,Y
11115,MR.,ALVIN,Steward,2/12/1962,M,M,alvin20@bmc-switzerland-com,"$70,000 ",5,Partial College,Skilled Manual,Y
11116,MR.,CLINTON,Hall,10/7/1962,M,M,clinton14@bmc-switzerland-com,"$70,000 ",5,Partial College,Skilled Manual,Y
11117,MRS.,APRIL,Caldwell,2/21/1961,M,F,april1@bmc-switzerland-com,"$70,000 ",5,Partial College,Skilled Manual,Y
11118,MR.,ALVIN,K.,7/3/1957,S,M,alvin21@bmc-switzerland-com,"$80,000 ",1,Partial College,Skilled Manual,N
11119,MR.,EVAN,Evans,4/10/1935,S,M,evan8@bmc-switzerland-com,"$40,000 ",2,Partial College,Clerical,N
11121,MR.,ORLANDO,Sexton,11/18/1960,M,M,orlando19@bmc-switzerland-com,"$70,000 ",5,Partial College,Skilled Manual,Y
11122,MR.,BYRON,Ireland,4/2/1960,M,M,byron9@bmc-switzerland-com,"$70,000 ",5,Partial College,Skilled Manual,Y
11123,MR.,PHILIP,Lundy,6/20/1960,M,M,philip4@bmc-switzerland-com,"$70,000 ",5,Partial College,Skilled Manual,Y
11124,MR.,ROSS,Sparks,7/27/1957,S,M,ross1@bmc-switzerland-com,"$80,000 ",1,Partial College,Skilled Manual,Y
11125,MRS.,DANA,Juan,4/8/1956,S,F,dana2@bmc-switzerland-com,"$70,000 ",1,Partial College,Skilled Manual,Y
11126,MR.,SHAUN,Fonville,4/7/1949,M,M,shaun16@bmc-switzerland-com,"$10,000 ",2,High School,Skilled Manual,N
11127,MS.,JAN,Villalpando,10/21/1975,M,F,jan11@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11128,MS.,SAMANTHA,Lamar,12/5/1975,M,F,samantha35@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11129,MS.,JULIA,Harris,8/5/1975,S,F,julia17@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11130,MS.,CAROLINE,Salazar,1/6/1980,M,F,caroline21@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11131,MS.,AMANDA,Moncrief,3/12/1980,M,F,amanda7@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11132,MS.,MELISSA,Norman,10/26/1980,S,F,melissa31@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11133,MS.,ANGELA,Leonard,9/8/1980,S,F,angela23@bmc-switzerland-com,"$40,000 ",0,Partial High School,Clerical,N
11134,MR.,LARRY,Kohl,2/26/1946,S,M,larry14@bmc-switzerland-com,"$10,000 ",5,High School,Skilled Manual,Y
11135,MR.,MARCUS,Wayne,11/3/1979,S,M,marcus14@bmc-switzerland-com,"$40,000 ",0,Partial High School,Clerical,N
11136,MS.,BRIANNA,Giaquinta,10/26/1978,S,F,brianna30@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11137,MS.,JASMINE,Washington,7/20/1978,M,F,jasmine7@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11138,MS.,LAUREN,Nichols,9/15/1978,M,F,lauren23@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11139,MRS.,TANYA,Elrod,11/9/1938,S,F,tanya2@bmc-switzerland-com,"$40,000 ",2,Partial College,Clerical,N
11140,MR.,JAVIER,Biegert,2/11/1977,S,M,javier1@bmc-switzerland-com,"$40,000 ",0,Partial High School,Clerical,N
11141,MS.,NICOLE,Glenn,6/21/1977,M,F,nicole42@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11142,MR.,EDUARDO,Francis,8/14/1977,S,M,eduardo55@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11143,MR.,JONATHAN,David,2/4/1977,M,M,jonathan4@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11144,MR.,EDWARD,Amilcar,9/9/1979,S,M,edward48@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11145,MS.,JASMINE,Rodney,12/8/1979,S,F,jasmine46@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11146,MRS.,KARLA,Crystal,8/26/1939,S,F,karla20@bmc-switzerland-com,"$40,000 ",2,Bachelors,Management,Y
11147,MR.,ERNEST,Alexander,2/5/1939,M,M,ernest6@bmc-switzerland-com,"$60,000 ",2,Graduate Degree,Management,Y
11148,MR.,ROSS,Ernesto,8/16/1941,M,M,ross32@bmc-switzerland-com,"$40,000 ",2,Bachelors,Management,Y
11149,MR.,THEODORE,Chazsten,4/20/1941,M,M,theodore14@bmc-switzerland-com,"$40,000 ",2,Bachelors,Management,Y
11150,MR.,RUSSELL,Thomas,3/15/1941,S,M,russell6@bmc-switzerland-com,"$40,000 ",2,Bachelors,Management,Y
11151,MRS.,MELINDA,Jessica,2/25/1942,S,F,melinda9@bmc-switzerland-com,"$60,000 ",2,Graduate Degree,Management,N
11152,MR.,JAMES,Cornelius,1/10/1976,S,M,james77@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11153,MS.,ANGELA,Ian,6/23/1976,M,F,angela34@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11154,MS.,MEGAN,Stephanie,8/21/1976,S,F,megan25@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,Y
11155,MR.,HUNTER,Deven,1/26/1976,S,M,hunter50@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,N
11156,MS.,MARIA,Hung,2/7/1976,S,F,maria47@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,N
11157,MS.,HANNAH,Donald,6/11/1975,M,F,hannah32@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11158,MR.,JASON,Charly,10/8/1975,S,M,jason46@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,Y
11159,MS.,BRIANNA,Shaquille,9/17/1975,S,F,brianna57@bmc-switzerland-com,"$40,000 ",0,High School,Skilled Manual,N
11160,MR.,MAURICE,Fednel,1/8/1974,S,M,maurice4@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,N
11161,MS.,EMILY,Matthew,4/22/1974,S,F,emily27@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,N
11162,MR.,CHASE,Derek,3/5/1974,S,M,chase10@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,Y
11163,MR.,GABRIEL,Carl,12/20/1974,M,M,gabriel21@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,Y
11164,MR.,DEVIN,Tyrone,5/5/1974,S,M,devin63@bmc-switzerland-com,"$40,000 ",0,Partial College,Skilled Manual,N
11165,MS.,JOCELYN,Sergio,7/18/1973,M,F,jocelyn18@bmc-switzerland-com,"$60,000 ",0,Partial College,Skilled Manual,N
11166,MS.,ASHLEY,Tyson,4/24/1972,S,F,ashley18@bmc-switzerland-com,"$70,000 ",0,Partial College,Skilled Manual,N
11167,MS.,JASMINE,Tony,8/1/1972,S,F,jasmine43@bmc-switzerland-com,"$80,000 ",0,Bachelors,Management,N
11168,MR.,DAVID,Naeschylus,5/15/1968,S,M,david83@bmc-switzerland-com,"$80,000 ",0,Bachelors,Management,N
11169,MR.,BRYCE,Andrew,6/22/1968,M,M,bryce8@bmc-switzerland-com,"$80,000 ",4,Bachelors,Management,Y
11170,MRS.,CAROL,Adam,2/5/1968,M,F,carol5@bmc-switzerland-com,"$80,000 ",4,Bachelors,Management,Y
11171,MR.,JONATHAN,Monique,10/9/1967,S,M,jonathan43@bmc-switzerland-com,"$100,000 ",1,Bachelors,Management,Y
11172,MRS.,GABRIELLE,Aurelio,11/21/1967,M,F,gabrielle58@bmc-switzerland-com,"$100,000 ",1,Bachelors,Management,Y
11173,MS.,SARAH,Michael,9/1/1967,S,F,sarah13@bmc-switzerland-com,"$110,000 ",0,Graduate Degree,Management,N
11174,MR.,NICHOLAS,Anthony,7/13/1967,M,M,nicholas19@bmc-switzerland-com,"$110,000 ",0,Graduate Degree,Management,Y
11175,MR.,LUIS,Lester,3/5/1963,S,M,luis24@bmc-switzerland-com,"$70,000 ",0,Partial College,Skilled Manual,Y
11176,MR.,MASON,James,1/25/1968,M,M,mason25@bmc-switzerland-com,"$80,000 ",4,Bachelors,Management,Y
11177,MR.,JOSE,Cedrick,7/4/1942,M,M,jose6@bmc-switzerland-com,"$110,000 ",2,Graduate Degree,Management,Y
11178,MR.,NATHAN,Theodore,8/24/1943,M,M,nathan55@bmc-switzerland-com,"$100,000 ",2,Graduate Degree,Management,Y
11179,MRS.,MOLLY,Jamie,6/14/1943,M,F,molly18@bmc-switzerland-com,"$120,000 ",2,Graduate Degree,Management,Y
11180,MRS.,APRIL,Christopher,1/2/1943,M,F,april18@bmc-switzerland-com,"$160,000 ",1,Bachelors,Management,Y
11181,MR.,DEVIN,Edixon,8/8/1943,M,M,devin13@bmc-switzerland-com,"$170,000 ",2,Graduate Degree,Management,Y
11182,MRS.,STEPHANIE,Terry,8/25/1944,S,F,stephanie19@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11183,MRS.,JASMINE,James,7/15/1944,S,F,jasmine19@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11184,MRS.,MEGHAN,Benito,11/16/1944,S,F,meghan3@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11185,MRS.,ASHLEY,Ryan,10/8/1944,S,F,ashley31@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11186,MRS.,SARAH,Gilbert,5/21/1944,S,F,sarah25@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11187,MRS.,JENNIFER,William,2/22/1944,M,F,jennifer63@bmc-switzerland-com,"$60,000 ",4,Graduate Degree,Management,Y
11188,MRS.,CATHERINE,Aaron,9/6/1944,M,F,catherine16@bmc-switzerland-com,"$60,000 ",4,Graduate Degree,Management,N
11190,MR.,CARSON,Bobby,6/22/1944,M,M,carson17@bmc-switzerland-com,"$70,000 ",5,Bachelors,Management,Y
11191,MRS.,KRISTI,James,12/18/1945,S,F,kristi39@bmc-switzerland-com,"$70,000 ",5,Bachelors,Management,Y
11192,MR.,JAMES,Fred,9/13/1945,M,M,james79@bmc-switzerland-com,"$60,000 ",4,Bachelors,Management,Y
11193,MR.,IAN,Andrew,2/13/1945,M,M,ian72@bmc-switzerland-com,"$60,000 ",4,Bachelors,Management,Y
11194,MRS.,JACQUELINE,Antonio,6/10/1945,M,F,jacqueline0@bmc-switzerland-com,"$60,000 ",4,Bachelors,Management,Y
11195,MRS.,MEGAN,Clifton,2/10/1946,M,F,megan55@bmc-switzerland-com,"$60,000 ",5,Bachelors,Management,Y
11196,MR.,ALFREDO,Aaron,6/7/1946,M,M,alfredo10@bmc-switzerland-com,"$60,000 ",5,Bachelors,Management,Y
11197,MRS.,ANDREA,Richard,6/18/1946,M,F,andrea18@bmc-switzerland-com,"$70,000 ",3,Bachelors,Management,N
11198,MRS.,BROOKE,Troy,11/26/1946,S,F,brooke3@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11199,MRS.,JACQUELINE,Justin,11/6/1946,M,F,jacqueline1@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11200,MR.,JASON,William,11/22/1947,M,M,jason18@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11201,MRS.,AMANDA,Andrew,8/18/1947,M,F,amanda37@bmc-switzerland-com,"$70,000 ",4,Bachelors,Management,Y
11202,MRS.,ALEXIA,Declan,8/26/1947,M,F,alexia0@bmc-switzerland-com,"$80,000 ",5,Bachelors,Management,N
11203,MR.,LUIS,Alice,8/21/1948,M,M,luis21@bmc-switzerland-com,"$40,000 ",2,High School,Professional,Y
11205,MRS.,ABBY,Eugene,7/24/1948,M,F,abby13@bmc-switzerland-com,"$40,000 ",2,High School,Professional,Y
11206,MR.,BLAKE,Roberto,9/24/1948,M,M,blake60@bmc-switzerland-com,"$60,000 ",2,Partial College,Professional,Y
11207,MRS.,DANIELLE,Kaylene,7/19/1948,S,F,danielle12@bmc-switzerland-com,"$60,000 ",2,Partial College,Professional,Y
11208,MRS.,MARIA,Garland,2/4/1948,M,F,maria4@bmc-switzerland-com,"$60,000 ",2,Bachelors,Management,Y
11209,MRS.,ALLISON,Jeff,1/13/1948,M,F,allison21@bmc-switzerland-com,"$60,000 ",2,Bachelors,Management,Y
